1430684483 || [Thread:1] || INFO || Server myself: Server connection established
1430684483 || [Thread:1] || INFO || connecting to server 0
1430684483 || [Thread:1] || INFO || CONTROL: connecting to serverName at 0, client: false
1430684483 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430684483 || [Thread:1] || INFO || Sending Message to serverName:	client2--CONNECT--2
1430684483 || [Thread:9] || INFO || Server myself: New incoming connection accepted from localhost
1430684511 || [Thread:1] || INFO || Received PUT==a==b from master
1430684511 || [Thread:1] || INFO || Sending PUT==a==b
1430684511 || [Thread:1] || INFO || Sending Message to serverName:	client2--OPERATION--PUT==a==b;;;0=0:
1430684511 || [Thread:11] || FINE || Trying to parse: 0--WRITE_RESULT--0=3:
1430684511 || [Thread:11] || INFO || Write completed
1430684515 || [Thread:1] || INFO || Received GETa from master
1430684515 || [Thread:1] || INFO || Requesting a
1430684515 || [Thread:1] || INFO || Sending Message to serverName:	client2--READ--a;;;0=3:
1430684515 || [Thread:11] || FINE || Trying to parse: 0--READ_RESULT--b;;;0=3:<2,0>=0:
1430684515 || [Thread:11] || INFO || Received url = b
